Title,Description,Artist,Culture,Countries,Teaser Text,Url,Image,regulerImage,largeImage,date,Date - century,medium,medium,accessionNumber,galleryInformation
Jason pacifying the dragon, ,,probably Italian, Italy,Date: early 19th century Accession Number: 61.109.4 ,/art/collection/search/202571?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=180,https://images.metmuseum.org/CRDImages/es/mobile-large/SF61_109_4_img1.jpg,es/web-additional/SF61_109_4_img1.jpg,es/web-large/SF61_109_4_img1.jpg,early 19th century,19th century,Carnelian and gold,Carnelian and gold,61.109.4,Not on view
Dragon,"Leo Katz (American, Roznau, Czechoslovakia 1887–1982 Bronx, New York)",Leo Katz,,,"Leo Katz (American, Roznau, Czechoslovakia 1887–1982 Bronx, New York)  Date: 1966 Accession Number: 2023.121.4 ",/art/collection/search/894365?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=181,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1966,20th century,Lithograph,Lithograph,2023.121.4,Not on view
Hollow Brick with Dragon,Accession Number: SL.1.2017.24.13 ,,China,China,Accession Number: SL.1.2017.24.13 ,/art/collection/search/700581?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=182,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_1_2017_24_13_001.jpg,as/web-additional/LC-SL_1_2017_24_13_001.jpg,as/web-large/LC-SL_1_2017_24_13_001.jpg,,,Earthenware,Earthenware,SL.1.2017.24.13,Not on view
Dragon Pine on Mount Huang,Unidentified artist ,Unidentified artist,China,China,Unidentified artist Date: ca. 1660 Accession Number: 1976.1.2 ,/art/collection/search/49127?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=183,https://images.metmuseum.org/CRDImages/as/mobile-large/1976_1_2_O.JPG,as/web-additional/1976_1_2_O.JPG,as/web-large/1976_1_2_O.JPG,ca. 1660,17th century,Hanging scroll; ink and pale color on paper,Paper,1976.1.2,Not on view
Seal with Crouching Dragon,Accession Number: 11.190.221 ,,China,China,Accession Number: 11.190.221 ,/art/collection/search/40968?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=184,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_221_11830.jpg,as/web-additional/11_190_221_11830.jpg,as/web-large/11_190_221_11830.jpg,,,"Hard, gray-green jade",Jade,11.190.221,Not on view
Dragon Amid Clouds and Waves,"Unidentified artist Chinese, (active late 15th-early 16th c.)",Unidentified artist,China,China,"Unidentified artist Chinese, (active late 15th-early 16th c.) Date: 15th–16th century Accession Number: 2007.438 ",/art/collection/search/73821?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=185,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-29292-002.jpg,as/web-additional/DP-29292-002.jpg,as/web-large/DP-29292-002.jpg,15th–16th century,15th century,Hanging scroll; ink on silk,Silk,2007.438,Not on view
Bottle vase with dragon, ,,China,China,Date: 18th century Accession Number: 14.40.12 ,/art/collection/search/46932?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=186,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_12_O1_sf.jpg,as/web-additional/14_40_12_O1_sf.jpg,as/web-large/14_40_12_O1_sf.jpg,18th century,18th century,Porcelain painted in red and green enamels (Jingdezhen ware),Porcelain,14.40.12,Not on view
Bottle vase with dragon, ,,China,China,Date: 18th century Accession Number: 65.86.50 ,/art/collection/search/48305?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=187,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-65_86_50_whs-002.jpg,as/web-additional/LC-65_86_50_whs-002.jpg,as/web-large/LC-65_86_50_whs-002.jpg,18th century,18th century,Porcelain with relief decoration (Jingdezhen ware),Porcelain,65.86.50,Not on view
Gobular bottle with dragon, ,,China,China,Date: late 18th century Accession Number: 29.100.277 ,/art/collection/search/48636?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=188,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-29_100_277_whs-001.jpg,as/web-additional/LC-29_100_277_whs-001.jpg,as/web-large/LC-29_100_277_whs-001.jpg,late 18th century,18th century,Porcelain with incised decoration under brownish purple glaze (Jingdezhen ware),Porcelain,29.100.277,Not on view
St George Killing the Dragon,"Engraved by Enea Vico (Italian, Parma 1523–1567 Ferrara)",Enea Vico,,,"Engraved by Enea Vico (Italian, Parma 1523–1567 Ferrara)  Date: 1542 Accession Number: 49.97.348 ",/art/collection/search/368441?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=189,https://images.metmuseum.org/CRDImages/dp/mobile-large/MM26064.jpg,dp/web-additional/MM26064.jpg,dp/web-large/MM26064.jpg,1542,16th century,Engraving,Engraving,49.97.348,Not on view
Saint George and the Dragon,"Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg)",Albrecht Dürer,,,"Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg)  Date: ca. 1504 Accession Number: 19.73.169 ",/art/collection/search/387574?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=190,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP816411.jpg,dp/web-additional/DP816411.jpg,dp/web-large/DP816411.jpg,ca. 1504,16th century,Woodcut,Wood,19.73.169,Not on view
Saint George and the Dragon, ,,"Austrian, Vienna",Austria,Date: ca. 1330 Accession Number: 29.158.770 ,/art/collection/search/34032?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=191,https://images.metmuseum.org/CRDImages/aa/mobile-large/sf29-158-770s1.jpg,aa/web-additional/sf29-158-770s1.jpg,aa/web-large/sf29-158-770s1.jpg,ca. 1330,14th century,"Wood, gesso, polychromy, gold",Wood,29.158.770,Not on view
Saint George and the Dragon, ,,"Swiss, Canton of Bern",Switzerland,Date: 1653 Accession Number: 14.40.737 ,/art/collection/search/192751?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=192,https://images.metmuseum.org/CRDImages/es/mobile-large/24209.jpg,es/web-additional/24209.jpg,es/web-large/24209.jpg,1653,17th century,Stained glass,Stained glass,14.40.737,Not on view
Ink Tablet with Dragon and Phoenix Deign,"Zhan Dayou (Chinese,)",Zhan Dayou,China,China,"Zhan Dayou (Chinese,)  Date: late 19th–early 20th century Accession Number: 30.76.193 ",/art/collection/search/41771?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=193,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_193_F.jpg,as/web-additional/30_76_193_F.jpg,as/web-large/30_76_193_F.jpg,late 19th–early 20th century,19th century,Black ink,Black ink,30.76.193,Not on view
Saint George and the Dragon, ,,French,France,Date: early 16th century Accession Number: 41.190.81 ,/art/collection/search/468041?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=194,https://images.metmuseum.org/CRDImages/md/mobile-large/cdi41-190-81.jpg,md/web-additional/cdi41-190-81.jpg,md/web-large/cdi41-190-81.jpg,early 16th century,16th century,Walnut,Walnut,41.190.81,Not on view
Two Figures and a Dragon, ,,Japan,Japan,Date: 19th century Accession Number: 81.1.28 ,/art/collection/search/62371?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=195,https://images.metmuseum.org/CRDImages/as/mobile-large/81_1_28_03_sf.jpg,as/web-additional/81_1_28_03_sf.jpg,as/web-large/81_1_28_03_sf.jpg,19th century,19th century,Ivory,Ivory,81.1.28,Not on view
Rank Badge with Four-Clawed Dragon, ,,China,China,Date: late 17th–early 18th century Accession Number: 59.97.2 ,/art/collection/search/70240?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=196,https://images.metmuseum.org/CRDImages/as/mobile-large/169280.jpg,as/web-additional/169280.jpg,as/web-large/169280.jpg,late 17th–early 18th century,17th century,Silk,Silk,59.97.2,Not on view
The Dragon Devouring  the Companions of Cadmus,"Hendrick Goltzius (Netherlandish, Mühlbracht 1558–1617 Haarlem)",Hendrick Goltzius,,,"Hendrick Goltzius (Netherlandish, Mühlbracht 1558–1617 Haarlem)  Date: 1588 Accession Number: 2012.136.905 ",/art/collection/search/399874?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=197,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP832056.jpg,dp/web-additional/DP832056.jpg,dp/web-large/DP832056.jpg,1588,16th century,Engraving; first state of two,Engraving,2012.136.905,Not on view
Dragon head with open mouth,Accession Number: 1994.605.49 ,,China,China,Accession Number: 1994.605.49 ,/art/collection/search/44350?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=198,https://images.metmuseum.org/CRDImages/as/mobile-large/1994_605_49_PL.JPG,as/web-additional/1994_605_49_PL.JPG,as/web-large/1994_605_49_PL.JPG,,,Stoneware with colored glazes,Stoneware,1994.605.49,Not on view
The Dragon Devouring the Companions of Cadmus,"Hendrick Goltzius (Netherlandish, Mühlbracht 1558–1617 Haarlem)",Hendrick Goltzius,,,"Hendrick Goltzius (Netherlandish, Mühlbracht 1558–1617 Haarlem)  Date: 1588 Accession Number: 53.601.338(36) ",/art/collection/search/336569?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=199,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP821104.jpg,dp/web-additional/DP821104.jpg,dp/web-large/DP821104.jpg,1588,16th century,Engraving,Engraving,53.601.338(36),Not on view
The Rakan Handaka Sonja with Dragon,"Utagawa Hiroshige (Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo))",Utagawa Hiroshige,Japan,Japan,"Utagawa Hiroshige (Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo))  Date: 1820 ( year of the dragon) Accession Number: 2017.284 ",/art/collection/search/749409?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=200,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-16215-041.jpg,as/web-additional/DP-16215-041.jpg,as/web-large/DP-16215-041.jpg,1820 ( year of the dragon),19th century,Woodblock print; surimono print,Woodblock print,2017.284,Not on view
Relief with Monk Killing Dragon, ,,French,France,Date: 19th or 20th century Accession Number: 36.79.4 ,/art/collection/search/467627?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=201,https://images.metmuseum.org/CRDImages/cl/mobile-large/cdi36-79-4.jpg,cl/web-additional/cdi36-79-4.jpg,cl/web-large/cdi36-79-4.jpg,19th or 20th century,19th century,Alabaster,Alabaster,36.79.4,Not on view
Caricature Showing Marie Antoinette as a Dragon,"Anonymous, French, 18th century ","Anonymous, French, 18th century",,,"Anonymous, French, 18th century Date: 18th century Accession Number: 62.520.14 ",/art/collection/search/393247?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=202,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818688.jpg,dp/web-additional/DP818688.jpg,dp/web-large/DP818688.jpg,18th century,18th century,Etching,Etching,62.520.14,Not on view
Rank Badge with Four-Clawed Dragon, ,,China,China,Date: mid-18th century Accession Number: 46.133.53 ,/art/collection/search/69796?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=203,https://images.metmuseum.org/CRDImages/as/mobile-large/144187.jpg,as/web-additional/144187.jpg,as/web-large/144187.jpg,mid-18th century,18th century,"Silk, metallic thread",Silk,46.133.53,Not on view
Bottle with an entwined dragon, ,,China,China,Date: 16th–17th century Accession Number: 11.8.10 ,/art/collection/search/48844?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=204,https://images.metmuseum.org/CRDImages/as/mobile-large/9680.jpg,as/web-additional/9680.jpg,as/web-large/9680.jpg,16th–17th century,16th century,Stoneware with celadon glaze,Stoneware,11.8.10,Not on view
Dragon King with a Tide-Ruling Jewel,"Unidentified artist (Japanese, 19th century)",Unidentified artist,Japan,Japan,"Unidentified artist (Japanese, 19th century)  Date: Late 19th Century Accession Number: 2012.136.878 ",/art/collection/search/399803?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=205,https://images.metmuseum.org/CRDImages/as/mobile-large/DP832049.jpg,as/web-additional/DP832049.jpg,as/web-large/DP832049.jpg,Late 19th Century,19th century,Ink on paper,Paper,2012.136.878,Not on view
Seal paste box with dragon, ,,China,China,"Date: 18th century Accession Number: 50.221.34a, b ",/art/collection/search/47843?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=206,https://images.metmuseum.org/CRDImages/as/mobile-large/50_221_34ab_O1_sf.jpg,as/web-additional/50_221_34ab_O1_sf.jpg,as/web-large/50_221_34ab_O1_sf.jpg,18th century,18th century,Porcelain with reserved white ornament under blue glaze (Jingdezhen ware),Porcelain,"50.221.34a, b",Not on view
Plate with carp and dragon, ,,China,China,Date: late 17th–early 18th century Accession Number: 79.2.345 ,/art/collection/search/48197?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=207,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_345_F.jpg,as/web-additional/79_2_345_F.jpg,as/web-large/79_2_345_F.jpg,late 17th–early 18th century,17th century,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Porcelain,79.2.345,Not on view
Roof tile fragment with dragon, ,,China,China,Date: 16th–17th century Accession Number: 29.80.5 ,/art/collection/search/48288?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=208,https://images.metmuseum.org/CRDImages/as/mobile-large/29_80_5_73676.jpg,as/web-additional/29_80_5_73676.jpg,as/web-large/29_80_5_73676.jpg,16th–17th century,16th century,Earthenware with yellow glaze,Earthenware,29.80.5,Not on view
Vase with archaistic dragon pattern, ,,China,China,Date: 18th century Accession Number: 14.40.177 ,/art/collection/search/46705?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=209,https://images.metmuseum.org/CRDImages/as/mobile-large/23416.jpg,as/web-additional/23416.jpg,as/web-large/23416.jpg,18th century,18th century,Porcelain with incised decoration under turqoise glaze (Jingdezhen ware),Porcelain,14.40.177,Not on view
Covered square box with dragon, ,,China,China,"Date: dated 1610 Accession Number: 2015.500.1.55a, b ",/art/collection/search/40254?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=210,https://images.metmuseum.org/CRDImages/as/mobile-large/DP704194.jpg,as/web-additional/DP704194.jpg,as/web-large/DP704194.jpg,dated 1610,17th century,Polychrome lacquer with filled-in and engraved gold decoration,Lacquer,"2015.500.1.55a, b",Not on view
Roof tile end with dragon, ,,China,China,Date: 18th century Accession Number: 29.80.3 ,/art/collection/search/48325?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=211,https://images.metmuseum.org/CRDImages/as/mobile-large/29_80_3_73676.jpg,as/web-additional/29_80_3_73676.jpg,as/web-large/29_80_3_73676.jpg,18th century,18th century,Earthenware with yellow glaze,Earthenware,29.80.3,Not on view
Netsuke of Man and Dragon, ,,Japan,Japan,Date: 19th century Accession Number: 10.211.876 ,/art/collection/search/60183?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=212,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-10_211_876-001.jpg,as/web-additional/LC-10_211_876-001.jpg,as/web-large/LC-10_211_876-001.jpg,19th century,19th century,Ivory,Ivory,10.211.876,Not on view
Netsuke Containing Dragon and Figures, ,,Japan,Japan,Date: 19th century Accession Number: 10.211.2056 ,/art/collection/search/59259?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=213,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-10_211_2056-002.jpg,as/web-additional/LC-10_211_2056-002.jpg,as/web-large/LC-10_211_2056-002.jpg,19th century,19th century,Wood,Wood,10.211.2056,Not on view
Bowl with Two Dragon Handles,Accession Number: 02.18.368 ,,China,China,Accession Number: 02.18.368 ,/art/collection/search/56170?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=214,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15034-001.jpg,as/web-additional/DP-15034-001.jpg,as/web-large/DP-15034-001.jpg,,,Nephrite,Nephrite,02.18.368,Not on view
St. George and the Dragon, ,,German,Germany,Date: 15th–16th century Accession Number: 17.190.385 ,/art/collection/search/464365?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=215,https://images.metmuseum.org/CRDImages/md/mobile-large/sf17-190-385s1.jpg,md/web-additional/sf17-190-385s1.jpg,md/web-large/sf17-190-385s1.jpg,15th–16th century,15th century,Boxwood,Boxwood,17.190.385,Not on view
Saint George slaying the dragon, ,,French,France,Date: 16th century Accession Number: 64.101.1604 ,/art/collection/search/203995?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=216,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-21041-190.jpg,es/web-additional/DP-21041-190.jpg,es/web-large/DP-21041-190.jpg,16th century,16th century,Ivory	,Ivory	,64.101.1604,Not on view
St. George on Horseback Slaying the Dragon,"Lucas Cranach the Elder (German, Kronach 1472–1553 Weimar)",Lucas Cranach the Elder,,,"Lucas Cranach the Elder (German, Kronach 1472–1553 Weimar)  Accession Number: 23.81 ",/art/collection/search/623494?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=217,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP842107.jpg,dp/web-additional/DP842107.jpg,dp/web-large/DP842107.jpg,,,Woodcut,Wood,23.81,Not on view
Medallion with Five-Clawed Dragon (long), ,,China,China,Date: late 17th century Accession Number: 36.65.32 ,/art/collection/search/65138?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=218,https://images.metmuseum.org/CRDImages/as/mobile-large/TP477.jpg,as/web-additional/TP477.jpg,as/web-large/TP477.jpg,late 17th century,17th century,"Silk, metallic thread, and peacock feather tapestry (kesi)",Silk,36.65.32,Not on view
St. George and the Dragon, ,,possibly Italian or French, Italy,"Date: probably 19th century, in the style of the late 14th century Accession Number: 32.75.311 ",/art/collection/search/32193?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=219,https://images.metmuseum.org/CRDImages/aa/mobile-large/32.75.311pr1.jpg,aa/web-additional/32.75.311pr1.jpg,aa/web-large/32.75.311pr1.jpg,"probably 19th century, in the style of the late 14th century", 19th century,Silver,Silver,32.75.311,Not on view
Dragon in the Clouds Flower Basket (Hanakago),"Iizuka Shōkansai (Japanese, 1919–2004)",Iizuka Shōkansai,Japan,Japan,"Iizuka Shōkansai (Japanese, 1919–2004)  Date: 1990 Accession Number: 2019.425.16a, b ",/art/collection/search/726142?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=220,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-10807-095.jpg,as/web-additional/DP-10807-095.jpg,as/web-large/DP-10807-095.jpg,1990,20th century,Timber bamboo,Timber bamboo,"2019.425.16a, b",Not on view
Oval Memory Series II: Castle Dragon,"Howardena Pindell (American, born Philadelphia, Pennsylvania, 1943)",Howardena Pindell,,,"Howardena Pindell (American, born Philadelphia, Pennsylvania, 1943)  Date: 1980–81 Accession Number: 1981.327 ",/art/collection/search/482291?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=221,https://images.metmuseum.org/CRDImages/ma/mobile-large/DP-344-001.jpg,ma/web-additional/DP-344-001.jpg,ma/web-large/DP-344-001.jpg,1980–81,20th century,"Cut and pasted postcards, tempera, gouache, fluorescent paint, punched papers, nails and thread on foam board",Foam board,1981.327,Not on view
Flower vase with dragon handles, ,,China,China,Date: 14th century Accession Number: 2021.295 ,/art/collection/search/852637?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=222,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-21657-001.jpg,as/web-additional/DP-21657-001.jpg,as/web-large/DP-21657-001.jpg,14th century,14th century,Copper alloy,Copper alloy,2021.295,Not on view
Roundel with Four-Clawed Dragon (Mang), ,,China,China,Date: 18th century Accession Number: 65.236 ,/art/collection/search/64916?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=223,https://images.metmuseum.org/CRDImages/as/mobile-large/184537.jpg,as/web-additional/184537.jpg,as/web-large/184537.jpg,18th century,18th century,Silk and gold thread tapestry (kesi),Silk,65.236,Not on view
Obi with Dragon and Phoenix, ,,Japan,Japan,Date: 19th century Accession Number: 2006.572.5 ,/art/collection/search/73687?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=224,https://images.metmuseum.org/CRDImages/as/mobile-large/2006_572_5_Strm1_crop1.jpg,as/web-additional/2006_572_5_Strm1_crop1.jpg,as/web-large/2006_572_5_Strm1_crop1.jpg,19th century,19th century,Silk satin with supplementary weft patterning in silk and metallic threads,Silk satin,2006.572.5,Not on view
Tomb Figure of Dragon Head, ,,China,China,Date: (3200–2000 BCE) – (1368–1644 CE) Accession Number: 1994.605.91 ,/art/collection/search/44391?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=225,https://images.metmuseum.org/CRDImages/as/mobile-large/272385.jpg,as/web-additional/272385.jpg,as/web-large/272385.jpg,(3200–2000 BCE) – (1368–1644 CE),,Earthenware with pigment,Earthenware,1994.605.91,Not on view
New Year Picture of the Fortune-delivering Dragon,"Unidentified artist (s) , early 20th century",Unidentified artist(s),China,China,"Unidentified artist(s) , early 20th century Date: early 20th century Accession Number: CP463 ",/art/collection/search/63895?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=226,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-17327-087.jpg,as/web-additional/DP-17327-087.jpg,as/web-large/DP-17327-087.jpg,early 20th century,20th century,Polychrome woodblock print; ink and color on paper,Paper,CP463,Not on view
Paper Talisman with the Holy Dragon Mother,"Unidentified artist (s) , early 20th century",Unidentified artist(s),China,China,"Unidentified artist(s) , early 20th century Date: early 20th century Accession Number: CP477 ",/art/collection/search/63909?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=227,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-17327-101.jpg,as/web-additional/DP-17327-101.jpg,as/web-large/DP-17327-101.jpg,early 20th century,20th century,Polychrome woodblock print; ink and color on paper,Paper,CP477,Not on view
Nine Dragon Falls on Diamond Mountains,"Park Dae-sung (artist name: Sosan) (Korean, born 1945)",Park Dae-sung (artist name: Sosan),Korea,Korea,"Park Dae-sung (artist name: Sosan) (Korean, born 1945)  Date: 2004 Accession Number: SL.18.2018.4.1 ",/art/collection/search/748565?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=228,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_18_2018_4_1_001.jpg,as/web-additional/LC-SL_18_2018_4_1_001.jpg,as/web-large/LC-SL_18_2018_4_1_001.jpg,2004,21st century,Ink and color on paper,Paper,SL.18.2018.4.1,Not on view
Daoist Master Fei Zhangfang with a Dragon,Sesson Shūkei 雪村周継 (ca. 1504–ca. 1589),Sesson Shūkei 雪村周継,Japan,Japan,Sesson Shūkei 雪村周継 (ca. 1504–ca. 1589)  Date: ca. 1555 to 1561 Accession Number: 2022.432.8 ,/art/collection/search/853194?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=229,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24856-002.jpg,as/web-additional/DP-24856-002.jpg,as/web-large/DP-24856-002.jpg,ca. 1555 to 1561,16th century,Hanging scroll; ink on paper,Paper,2022.432.8,Not on view
Dragon,"Accession Number: 42.25.30a, b ",,China,China,"Accession Number: 42.25.30a, b ",/art/collection/search/61677?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=230,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Bronze,Bronze,"42.25.30a, b",Not on view
Vase with dragon and phoenix, ,,China,China,Date: early 18th century Accession Number: 14.40.271 ,/art/collection/search/45908?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=231,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-14_40_271_whs-002.jpg,as/web-additional/LC-14_40_271_whs-002.jpg,as/web-large/LC-14_40_271_whs-002.jpg,early 18th century,18th century,Soft-paste porcelain with underglaze cobalt blue (Jingdezhen ware),Porcelain,14.40.271,Not on view
Seal paste box with dragon, ,,China,China,"Date: 19th century Accession Number: 14.40.301a, b ",/art/collection/search/46520?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=232,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_301ab_O1.jpg,as/web-additional/14_40_301ab_O1.jpg,as/web-large/14_40_301ab_O1.jpg,19th century,19th century,Soft-paste porcelain painted in underglaze cobalt blue (Jingdezhen ware),Porcelain,"14.40.301a, b",Not on view
Jar with dragon and phoenix, ,,China,China,Date: late 17th–early 18th century Accession Number: 14.40.325 ,/art/collection/search/46933?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=233,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_325_O1_sf.jpg,as/web-additional/14_40_325_O1_sf.jpg,as/web-large/14_40_325_O1_sf.jpg,late 17th–early 18th century,17th century,Porcelain with incised decoration under yellow glaze (Jingdezhen ware),Porcelain,14.40.325,Not on view
Vessel in the Form of a Double Dragon, ,,Thailand,Thailand,Date: 14th–15th century Accession Number: 63.100 ,/art/collection/search/37515?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=234,https://images.metmuseum.org/CRDImages/as/mobile-large/63_100_178615.jpg,as/web-additional/63_100_178615.jpg,as/web-large/63_100_178615.jpg,14th–15th century,14th century,Earthenware with silver gilt,Earthenware,63.100,Not on view
Roof Tile in the Form of a Dragon, ,,Thailand,Thailand,Date: 14th century Accession Number: 30.80.5 ,/art/collection/search/37662?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=235,https://images.metmuseum.org/CRDImages/as/mobile-large/78712.jpg,as/web-additional/78712.jpg,as/web-large/78712.jpg,14th century,14th century,Ceramic,Ceramic,30.80.5,Not on view
Case (Inrō) with Design of Dragon Facing Front, ,,Japan,Japan,Date: 19th century Accession Number: 29.100.893 ,/art/collection/search/58818?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=236,https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_893_O3.JPG,as/web-additional/29_100_893_O3.JPG,as/web-large/29_100_893_O3.JPG,19th century,19th century,"Lacquer, brown and silver nashiji, gold and coloured hiramakie, inlaid eyes; Interior: red lacquer and fundame",Lacquer,29.100.893,Not on view
Sword Guard (Tsuba) Depicting Dragon in Waves (波に龍図鐔), ,,Japanese,Japan,Date: 19th century Accession Number: 91.1.761 ,/art/collection/search/25680?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=237,https://images.metmuseum.org/CRDImages/aa/mobile-large/91.1.761_002jan2014.jpg,aa/web-additional/91.1.761_002jan2014.jpg,aa/web-large/91.1.761_002jan2014.jpg,19th century,19th century,"Iron, gold, copper","Iron, gold, copper",91.1.761,Not on view
Sword Guard (Tsuba) Depicting Dragon Between Waves (波龍図鐔), ,,Japanese,Japan,Date: 19th century Accession Number: 91.1.786 ,/art/collection/search/25705?&searchField=Title&ft=Dragon&offset=200&rpp=100&amp;pos=238,https://images.metmuseum.org/CRDImages/aa/mobile-large/91.1.786_001jan2014.jpg,aa/web-additional/91.1.786_001jan2014.jpg,aa/web-large/91.1.786_001jan2014.jpg,19th century,19th century,"Copper-gold alloy (shakudō), gold, copper",Copper-gold alloy,91.1.786,Not on view
